stock_code,fiscal_year,seed_tfidf_E,seed_tfidf_S,seed_tfidf_G,expanded_tfidf_S,expanded_tfidf_G,g_signal_ratio,esg_signal_ratio,total_tokens,log_tokens,specificity,cosine_E,cosine_S,cosine_G,esg_year,esg_grade,esg_grade_num,e_grade_num,s_grade_num,g_grade_num
000430,2022,0.0,0.06278991065971226,0.0,0.06278991065971226,0.0,0.022168480451430876,0.024989923417976623,2481,7.8168199657645525,0.0,0.010474704537921372,0.01805418109286256,0.0,2023,C,1,2,3,1
000430,2023,0.0,0.038415170454222804,0.006951694044197331,0.05310442238552228,0.006951694044197331,0.020675944333996023,0.022664015904572565,2515,7.830425617820331,0.0,0.011463285304524532,0.012007062052246754,0.0,2024,B+,3,3,4,3
000430,2024,0.0,0.03721151542337024,0.013467755945659961,0.051440511893675774,0.013467755945659961,0.05056179775280899,0.043820224719101124,2670,7.890208213109961,0.0,0.009856368318354451,0.015544476602663662,0.0,2025,A,4,3,4,4
000480,2022,0.056912272462318024,0.01761167350528128,0.005422267464302846,0.01761167350528128,0.005422267464302846,0.03226857887874837,0.03259452411994785,3068,8.029107054619736,0.0016297262059973925,0.0066718481297890824,0.011512727136079688,0.0,2023,D,0,1,0,0
000480,2023,0.04397655216122304,0.01592933870888068,0.004904311619399632,0.01592933870888068,0.004904311619399632,0.033110474371219355,0.033110474371219355,3141,8.052614818815567,0.0009551098376313276,0.006034527533215548,0.007562674363415428,0.0,2024,C,1,1,2,1
000480,2024,0.0501951993453669,0.015289824220557973,0.004707418427963698,0.015289824220557973,0.004707418427963698,0.029696578437701744,0.030342156229825695,3098,8.038834757787749,0.0012911555842479018,0.005792259611225645,0.008331968508906853,0.0,2025,C,1,3,4,0
000490,2022,0.22963616972387776,0.023724866979609648,0.0,0.023724866979609648,0.0,0.02449979583503471,0.034708044099632504,2449,7.803843303538772,0.0,0.04543639012696485,0.007559340490387078,0.002200720981994932,2023,C,1,2,4,0
000490,2023,0.23769618417616922,0.04467885378950191,0.0,0.04467885378950191,0.0,0.02599448601811737,0.03584088223710122,2539,7.8399193600125825,0.00039385584875935406,0.04703116485920168,0.008742704651275161,0.0022779642270014514,2024,B+,3,3,5,2
000490,2024,0.23699469186684657,0.04454699693016143,0.0,0.04454699693016143,0.0,0.03425961172440046,0.03920822230681385,2627,7.873978379604501,0.0,0.046892365826471924,0.008716903058806173,0.0022712414670560547,2025,A,4,4,5,3
000500,2022,0.20256824869772233,0.0,0.029458549307389843,0.0,0.029458549307389843,0.02532790592492085,0.027137042062415198,2211,7.701652362642226,0.0,0.01455589725883376,0.03353123476250856,0.0,2023,B+,3,3,4,2
000500,2023,0.20206529797561107,0.013663829335191635,0.0,0.013663829335191635,0.0,0.024186046511627906,0.02744186046511628,2150,7.67368812926773,0.0,0.014519756851418628,0.02836908500363247,0.0,2024,B,2,4,4,1
000500,2024,0.15901325267553248,0.0116341566212506,0.016680264630314898,0.0116341566212506,0.016680264630314898,0.02455661664392906,0.027285129604365622,2199,7.696212639346407,0.0,0.012362941688448079,0.02415504248752403,0.0,2025,B+,3,4,5,2
000520,2022,0.0,0.0,0.010043352517678659,0.06051887226321364,0.010043352517678659,0.018631178707224333,0.018250950570342206,2630,7.875119281040293,0.0,0.002791443607561164,0.0037747475574497766,0.0,2023,C,1,0,1,1
000520,2023,0.0,0.0,0.010963106559900168,0.06606109308009712,0.010963106559900168,0.02099400171379606,0.02056555269922879,2334,7.755767170102998,0.0,0.0020313863438048132,0.004120432857076463,0.0,2024,C,1,0,1,2
000520,2024,0.0,0.0,0.011198859659534184,0.0674816856259919,0.011198859659534184,0.020976027397260275,0.02054794520547945,2336,7.756623334538858,0.0,0.0010375348654264797,0.007463344701470182,0.0,2025,C,1,2,1,1
000540,2022,0.0,0.005838265565501774,0.02261220159264696,0.017783423242319327,0.02261220159264696,0.05015002143163309,0.036862408915559364,2333,7.755338812846501,0.0,0.0046572440887028,0.01702526217886852,0.0,2023,B+,3,2,3,3
000540,2023,0.0,0.00685785266265038,0.02656116703851813,0.020889097123984054,0.02656116703851813,0.055796055796055795,0.04040404040404041,2079,7.640123172695364,0.000481000481000481,0.006700978374619419,0.021928151083578703,0.0,2024,B+,3,1,3,3
000540,2024,0.0,0.006452464238913403,0.050433357991124285,0.019654279379575444,0.050433357991124285,0.05596330275229358,0.03944954128440367,2180,7.687538766201629,0.00045871559633027525,0.006304863264772094,0.018816358066410147,0.006162390663363576,2025,B+,3,3,2,3
000590,2022,0.0,0.0,0.03576644148229417,0.0,0.03576644148229417,0.030506721820062047,0.029472595656670115,1934,7.5678626054638825,0.0,0.015845313168884427,0.004143809581593074,0.0025673392037953917,2023,C,1,0,0,2
000590,2023,0.0,0.0,0.0356540125241335,0.0,0.0356540125241335,0.030475206611570247,0.029442148760330578,1936,7.5688956634069955,0.0,0.015795504689833217,0.004130783846441163,0.0025592689776290384,2024,C,1,0,0,2
000590,2024,0.0,0.0,0.005960594989106881,0.0,0.005960594989106881,0.026049973418394472,0.024986709197235512,1881,7.540090320145325,0.0,0.015844041010683797,0.0041434768913341385,0.0,2025,C,1,0,0,2
000640,2022,0.009481851109440838,0.03723701706386694,0.007885347758840849,0.06693404508117375,0.007885347758840849,0.02200374531835206,0.020131086142322098,4272,8.360071435644025,0.0,0.01039067448357707,0.018755697096255665,0.0050941400480583494,2023,A,4,3,5,4
000640,2023,0.021896505409921236,0.04229253648279051,0.007641878093705841,0.09409670982169405,0.007641878093705841,0.018582243633860976,0.017894012388162423,4359,8.38022733634308,0.00022941041523285156,0.013615812769343998,0.020806925845550887,0.004936852302535522,2024,A+,5,4,5,5
000640,2024,0.00499724374475657,0.018556232471593607,0.007187019239533917,0.07810374516711746,0.007187019239533917,0.01983273596176822,0.017443249701314216,4185,8.339500903005945,0.00023894862604540023,0.006807065577724177,0.01343230828551627,0.004643001634674582,2025,A,4,4,5,4
000650,2022,0.019341007195961622,0.016611459624315022,0.0,0.016611459624315022,0.0,0.04277286135693215,0.045722713864306784,678,6.520621127558696,0.0,0.0029803392304917557,0.004420611910307692,0.006927325208937537,2023,D,0,1,0,0
000650,2023,0.019277028111556457,0.016556509746750273,0.0,0.016556509746750273,0.0,0.047058823529411764,0.05,680,6.523562306149512,0.0,0.0029704804173879855,0.004405988747218693,0.006904409963637531,2024,D,0,1,0,0
000650,2024,0.01967194288969919,0.01689569119814506,0.0,0.01689569119814506,0.0,0.039938556067588324,0.043010752688172046,651,6.480044561926653,0.0,0.0030313345391032977,0.004496251108125049,0.007045855704818033,2025,C,1,1,0,1
000660,2022,0.19686559641104934,0.025522939414288362,0.004611763867045377,0.07105625068556817,0.004611763867045377,0.02753121709041673,0.03159319993982248,6647,8.802071336535285,0.00045133142771174966,0.06757458709799453,0.014681907312504966,0.0029793195843473793,2023,A,4,4,5,4
000660,2023,0.1719491107799182,0.04370507994798491,0.00216621069757772,0.0910576638879525,0.00216621069757772,0.025112107623318385,0.028400597907324365,6690,8.808518618782816,0.00014947683109118088,0.05824271057370973,0.016797162917638067,0.0027988570712536858,2024,B+,3,4,5,2
000660,2024,0.2154817138073845,0.0429677756195953,0.002221590513299047,0.09153094234149468,0.002221590513299047,0.027714748784440843,0.03354943273905997,6170,8.727616178321068,0.00016207455429497568,0.06471874697955171,0.01641550084035633,0.004784017797014609,2025,A,4,4,5,3
000670,2022,0.07576583948758948,0.0200401301927517,0.0027570627935283834,0.039257570529083075,0.0027570627935283834,0.011737089201877934,0.012979839823253245,7242,8.887790764195326,0.00013808340237503452,0.0630720538040734,0.016749884944107403,0.017811343799996434,2023,B+,3,3,3,2
000670,2023,0.07718799673576199,0.018199605502829685,0.0028088140426665302,0.03777776542268936,0.0028088140426665302,0.009088366890380313,0.011325503355704697,7152,8.875287128108384,0.00013982102908277405,0.06472402661550905,0.018181654018416964,0.01935538170611548,2024,B,2,1,2,3
000670,2024,0.05211999133633713,0.026861060768061322,0.021570964854703376,0.054011463959543315,0.021570964854703376,0.01105379513633014,0.012527634487840826,6785,8.822616945344176,0.00014738393515106854,0.062277272769500236,0.017842441132978955,0.029441941565197912,2025,B,2,2,4,1
